"Sacs a langer",725,"Sac/table à langer"
"Baby-coques",,
"Siège auto",720,"Siège auto"
"Landau/nacelle",718,"Landau/Nacelle"
"Tente de plage bébé",722,"Tente de plage bébé"
"Eveil et jouets bébé","id ancienne categorie","nom acienne categorie"
"Arches",,
"Jouets",,
"Jouets d'extérieur",753,"Jouets d\'extérieur"
"Plage et piscine et bain",751,"Jouets bain"
"Livres d'éveil",639,"Livres"
"Mobiles",748,"Mobiles"
"Tapis de jeux et d'éveil",746,"Tapis de jeux et d\'éveil"
"Transat et balancelles",745,"Transat bébé"
"Trotteurs",744,"Balancelle et trotteur"
"Mobilier Bébé","id ancienne categorie","nom acienne categorie"
"Armoires",732,"Armoire"
"Berceaux",729,"Berceau"
"Bibliothèques",,
"Bureaux",,
"Chevets",,
"Coffres à jouets",734,"Coffre à jouets"
"Commodes et plans à langer",733,"Commode et plan à langer"
"Couffins",730,"Couffin"
"Étagères murales",,
"Lits",731,"Lit d\'appoint/lit pliant"
"Divers mobilier bébé",,
"Toilette bébé","id ancienne categorie","nom acienne categorie"
"Meubles à langer",,
"Les baignoires et équipements",723,"Baignoire"
"Hygiène et propreté","726-727-728","Mouche bébé, Pot/réhausseur toilettes, Thermomètre bébé"
"Sécurité","id ancienne categorie","nom acienne categorie"
"Babyphone",757,"Babyphone"
"Parc",756,"Parc"
"Barrieres",755,"Barrières"
"Appartement","id ancienne categorie","nom acienne categorie"
"Studio",822,"Studio"
"2/3 pièces",823,"2/3 pièces"
"4/5 pièces",823,"2/3 pièces"
"+5 pièces",825,"+ de 5 pièces"
"Maison/villa","id ancienne categorie","nom acienne categorie"
"1/3 chambres",819,"1 à 3 Chambres"
"4/5 chambres",820,"4 à 5 Chambres"
"+5 chambres",821,"+ de 5 chambres"
"Camping","id ancienne categorie","nom acienne categorie"
"Tente",,
"Caravane",814,"Caravane"
"Camping car",815,"Camping Car"
"Emplacement",812,"Emplacement"
"Mobil home",811,"Mobil Home"
"Art de la table","id ancienne categorie","nom acienne categorie"
"Couverts",220,"couvert"
"Verrerie",,
"Assiettes et sous assiettes",,
